watchlist_id,primary_name,aliases,entity_type,dob_or_incorp,nationality_or_country,pan,passport,cin_or_din,national_id_last4,last_known_address,phone,listing_source,reference_number,reason_narrative,listed_date,risk_tier
WL0078,Ahmed Trading Pvt Ltd,Ahmed Trading Pvt Limited|Ahmed Trading Pvt Enterprises,ENTITY,2020-07-03,Bangladeshi,,,L63517MH2009PLC992670,,"85, Sector 21, Pune, MH",,UN_UNSC_SYNTHETIC,QDe.163,Listed under UNSC_1267 for alleged involvement in terror financing or designated terror group association.,2023-05-29,CRITICAL
WL0079,Star Holdings Holdings,,ENTITY,1990-05-04,Indian,RXIPL2164O,,L29287UP2012PLC737896,,"Office 27, Kolkata WB 700001",+91-9394134780,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-2394,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹621 crore across consortium of lenders.,2017-08-31,HIGH
WL0080,Yusuf Siddiqui,Siddiqui Yusuf|Y. Siddiqui|Yusuf Siddique,INDIVIDUAL,1957-04-13,Indian,GLGFI1946G,,64774661,,"Unit 296, Hyderabad TS 500001",,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-5209,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹1665 crore across consortium of lenders.,2018-01-24,HIGH
WL0081,Ravi Patel,Patel Ravi,INDIVIDUAL,1978-10-19,Indian,ADPCI7412Y,Y0724652,,,"House No. 220, Sec-9, Ahmedabad, GJ - 380001",,MHA_UAPA_SYNTHETIC,UAPA-136/2024,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2020-11-02,CRITICAL
WL0082,Indo Investments Pte Ltd,Indo Investments Pte Limited|Indo Investments Pte Private Limited,ENTITY,2005-12-01,Indian,YJRAU6701J,,U86898RJ2021NPL872620,,"Plot 194, Chennai TN 600001",+91-7426675805,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-5727,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹628 crore across consortium of lenders.,2020-01-06,MEDIUM
WL0083,Ali Al-Rashid,Al-Rashid Ali|A. Al-Rashid,INDIVIDUAL,1969-03-21,Indian,GPCLD4866G,N9989503,,XXXXXXXX4875,"77, Plot 36, Singapore, SG",+91-9340858488,UN_UNSC_SYNTHETIC,QDi.453,Listed under UNSC_1267 for alleged involvement in terror financing or designated terror group association.,2022-01-10,CRITICAL
WL0084,Sunita Ahmed,Ahmed Sunita|Sunita Ahmad,INDIVIDUAL,1983-04-06,Indian,PWNCU1273N,,,,"Office 39, Chennai, TN",+91-9579777997,RBI_CAUTION_LIST_SYNTHETIC,RBI-CL-3455,Listed on RBI Caution List for previous involvement in cheque fraud / forged documents / unauthorised remittances.,2023-01-18,HIGH
WL0085,Sunrise Industries Pte Ltd,Sunrise Industries Pte Limited,ENTITY,2024-08-19,Indian,SYFTX1994J,,L00111RJ2014NPL546087,,"Plot 203, Gurugram, HR - 122001",+91-7573053257,BANK_INTERNAL_STR_SYNTHETIC,INT-STR-50074,Internal flag: entity associated with one or more historical STRs filed by the bank.,2024-01-01,HIGH
WL0086,Reddy Resources & Co,Reddy Resources and Co,ENTITY,2002-04-23,Indian,VQFAJ2936U,,U54025DL2006PLC872705,,"Office 267, Surat GJ 395001",+91-7370153106,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-7549,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹2209 crore across consortium of lenders.,2020-01-28,HIGH
WL0087,Hassan Al-Khattab,Al-Khattab Hassan|(Arabic script: Hassan...),INDIVIDUAL,1975-07-04,Saudi,ZNQHQ1135J,W6182213,,,"3, Plot 14, Karachi, PK",,UN_UNSC_SYNTHETIC,QDi.379,Listed under UNSC_2253 for alleged involvement in terror financing or designated terror group association.,2021-07-13,CRITICAL
WL0088,Isha Malhotra,Malhotra Isha|I. Malhotra,INDIVIDUAL,1952-08-31,Indian,GUCTF6340C,,,,"Shop 24, Surat, GJ",,RBI_CAUTION_LIST_SYNTHETIC,RBI-CL-2978,Listed on RBI Caution List for previous involvement in cheque fraud / forged documents / unauthorised remittances.,2020-01-17,MEDIUM
WL0089,Iqbal Pillai,Pillai Iqbal|Iqbal Pilali,INDIVIDUAL,1981-07-23,Indian,TOVAV7892K,,11696970,,"Office 59, Jaipur RJ 302001",+91-7225810816,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-6551,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹1627 crore across consortium of lenders.,2022-10-10,HIGH
WL0090,Karan Patel,Patel Karan,INDIVIDUAL,1962-05-20,Indian,BQELI2603L,B5545732,09913131,XXXXXXXX7051,"Last known: Hong Kong, Hong Kong (originally Bengaluru)",,ED_FUGITIVE_SYNTHETIC,FEOA-042/2022,Declared Fugitive Economic Offender under FEOA 2018 in connection with alleged bank fraud / loan default exceeding ₹100 crore.,2019-04-24,CRITICAL
WL0091,Mohammed Al-Khattab,Al-Khattab Mohammed|M. Al-Khattab|Mohd Al-Khattab|Md Al-Khattab,INDIVIDUAL,1958-09-28,Afghan,EASAV5872A,T4916010,,,"4, Sector 38, London, GB",,UN_UNSC_SYNTHETIC,QDi.182,Listed under UNSC_2253 for alleged involvement in terror financing or designated terror group association.,2015-04-14,CRITICAL
WL0092,Chatterjee Trading & Co,Chatterjee Trading and Co|Chatterjee Trading & Private Limited,ENTITY,2012-08-16,Indian,PHSPB1274D,,U18653WB2024PTC232828,,"Office 189, Pune, MH",,RBI_CAUTION_LIST_SYNTHETIC,RBI-CL-8310,Listed on RBI Caution List for previous involvement in cheque fraud / forged documents / unauthorised remittances.,2022-10-11,MEDIUM
WL0093,Hussain Exports LLP,,ENTITY,2003-01-17,Indian,LKLFG0332R,,L23778GJ2022PTC871427,,"House No. 418, Sec-23, Indore, MP - 452001",,MHA_UAPA_SYNTHETIC,UAPA-160/2024,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2023-03-26,HIGH
WL0094,Aamna Kapoor,Kapoor Aamna|A. Kapoor|Aamna Kaopor,INDIVIDUAL,1993-11-16,Indian,UKZHG0712L,F9076714,,,"House No. 289, Phase-26, Kolkata, WB - 700001",,MHA_UAPA_SYNTHETIC,UAPA-226/2025,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2023-10-13,CRITICAL
WL0095,Naresh Menon,Menon Naresh|N. Menon,INDIVIDUAL,1970-12-13,Indian,XPQCZ9593H,,,XXXXXXXX9914,"Flat 302, Phase-12, Ahmedabad, GJ - 380001",,MHA_UAPA_SYNTHETIC,UAPA-243/2019,Designated under Unlawful Activities Prevention Act for alleged unlawful association / terror activity.,2020-05-01,HIGH
WL0096,Hussain Imports Enterprises,Hussain Imports Private Limited,ENTITY,2001-10-15,Indian,UIFFM8099C,,U90381KA2015PLC968753,,"Office 206, Indore MP 452001",,RBI_WILFUL_DEFAULTER_SYNTHETIC,RBI-WD-9082,Reported as Wilful Defaulter under RBI Master Direction on Wilful Defaulters. Outstanding ₹245 crore across consortium of lenders.,2018-01-02,MEDIUM
WL0097,Ashok Das,Das Ashok,INDIVIDUAL,1953-05-31,Indian,SOBFJ1295J,,,,"Shop 100, Gurugram, HR",+91-9565004260,RBI_CAUTION_LIST_SYNTHETIC,RBI-CL-1813,Listed on RBI Caution List for previous involvement in cheque fraud / forged documents / unauthorised remittances.,2019-04-15,HIGH
WL0098,Patel Logistics Enterprises,Patel Logistics Industries,ENTITY,2016-03-11,Indian,XPMLI7819T,,L86542WB2013PTC704325,,"Shop 158, Chennai, TN",,RBI_CAUTION_LIST_SYNTHETIC,RBI-CL-5640,Listed on RBI Caution List for previous involvement in cheque fraud / forged documents / unauthorised remittances.,2019-01-12,MEDIUM
WL0099,Pooja Bhatia,Bhatia Pooja,INDIVIDUAL,1976-09-03,Indian,BUMAY7459U,,,,"Office 164, Noida, UP",,RBI_CAUTION_LIST_SYNTHETIC,RBI-CL-6220,Listed on RBI Caution List for previous involvement in cheque fraud / forged documents / unauthorised remittances.,2025-10-18,MEDIUM
WL0100,Yusuf Menon,Menon Yusuf|Y. Menon,INDIVIDUAL,1974-02-08,Indian,AZDTY6114F,M3351062,47782080,XXXXXXXX9209,"Last known: Dhaka, Bangladesh (originally Indore)",,ED_FUGITIVE_SYNTHETIC,FEOA-028/2023,Declared Fugitive Economic Offender under FEOA 2018 in connection with alleged bank fraud / loan default exceeding ₹100 crore.,2025-02-09,CRITICAL
WL0005,Imran Shaikh,Shaikh Imran,INDIVIDUAL,1980-01-01,Indian,AAAAA0000A,,,,,,,TERROR_FINANCING,T-001,Known terror financing associate,2024-01-01,CRITICAL
WL0006,Sagar Trading Co,,ENTITY,2010-01-01,Indian,BBBBB0000B,,,,,,,SHELL_COMPANY,S-001,Known shell company,2024-01-01,HIGH
WL0007,Crescent Money Transfer,,ENTITY,2010-01-01,Indian,CCCCC0000C,,,,,,,UNREGISTERED_MSB,U-001,Known unregistered money service business,2024-01-01,HIGH
WL0008,Quick Buck Trading,,ENTITY,2010-01-01,Indian,DDDDD0000D,,,,,,,SHELL_COMPANY,S-002,Known shell company,2024-01-01,HIGH
